paso,metodo,escenario,seed,recompensa_paso,recompensa_total,costo_decision,costo_total,accion,bloque_razonamiento,posicion_x,posicion_y,distancia_a_meta,sobre_arena,colision_borde,meta_alcanzada
49,GoT Navigation Graph,obstaculos_densos,123,-1.0,-0.5999999999999996,355.0,18069.0,0,GRAPH,178.78221130371094,281.50189208984375,617.8888549804688,True,False,False
49,Adaptive rollout budget,obstaculos_densos,123,-1.0,-28.1,3.0,1026.0,0,Adaptive rollout budget,196.23829650878906,96.11976623535156,701.9305419921875,True,False,False
50,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-24.7,2.0,100.0,0,ACT,192.67300415039062,163.6126708984375,664.2546997070312,True,False,False
50,GoT Navigation Graph,obstaculos_densos,123,-1.0,-1.5999999999999996,355.0,18424.0,0,GRAPH,179.72190856933594,281.1598815917969,617.1788940429688,True,False,False
50,Adaptive rollout budget,obstaculos_densos,123,-1.0,-29.1,3.0,1029.0,0,Adaptive rollout budget,197.00433349609375,96.7625503540039,700.9306030273438,True,False,False
51,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-25.7,2.0,102.0,0,ACT,193.4390411376953,164.25546264648438,663.25927734375,True,False,False
51,GoT Navigation Graph,obstaculos_densos,123,-1.0,-2.5999999999999996,355.0,18779.0,0,GRAPH,180.66160583496094,280.81787109375,616.4696655273438,True,False,False
51,Adaptive rollout budget,obstaculos_densos,123,-1.0,-30.1,3.0,1032.0,0,Adaptive rollout budget,197.77037048339844,97.40533447265625,699.9307250976562,True,False,False
52,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-26.7,2.0,104.0,0,ACT,194.205078125,164.89825439453125,662.2638549804688,True,False,False
52,GoT Navigation Graph,obstaculos_densos,123,-1.0,-3.5999999999999996,355.0,19134.0,0,GRAPH,181.60130310058594,280.4758605957031,615.76123046875,True,False,False
52,Adaptive rollout budget,obstaculos_densos,123,-1.0,-31.1,3.0,1035.0,0,Adaptive rollout budget,198.53640747070312,98.0481185913086,698.9308471679688,True,False,False
